"nama_usaha","alamat","lama usaha","tahun","kemitraan","aset (jutaan)","omzet (ribuan) perbulan","jml_naker","surat Izin"
"BATIK TULIS - SRI FATIMAWATI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","36","1987","1","200000000","24000000","1","SIUP"
"BATIK TULIS - SUMARNI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","33","1990","1","200000000","27500000","1","SIUP"
"BATIK TULIS - MASTUHAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","37","1986","1","250000000","20000000","1","SIUP"
"BATIK TULIS - HJ.SU","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","29","1994","1","225000000","3350000","1","SIUP"
"BATIK TULIS - RUMZEH","DSN. SOKKAH (KECAMATAN TANJUNG BUMI)","12","2011","7","73000000","20600000","1","SIUP"
"BATIK TULIS - NORHALIMAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","45000000","18000000","1","SIUP"
"BATIK TULIS - SUNRAH","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","46000000","212050000","1","SIUP"
"BATIK TULIS - NURMAH","BANDANG DAYA (KECAMATAN TANJUNG BUMI)","29","1994","8","49000000","18850000","1","SIUP"
"BATIK TULIS - MUSLIMAH","DSN MANGKON (KECAMATAN AROSBAYA)","19","2004","8","49000000","22750000","1","SIUP"
"BATIK TULIS - SUPANI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","51000000","19700000","1","SIUP"
"BATIK TULIS - SARIYA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","51000000","21000000","1","SIUP"
"BATIK TULIS - KIPTIYAH","DSN MANGKON (KECAMATAN AROSBAYA)","28","1995","8","51000000","22000000","1","SIUP"
"BATIK TULIS - RAUNA","DSN MANGKON (KECAMATAN AROSBAYA)","15","2008","8","52000000","12700000","1","SIUP"
"BATIK TULIS - MUNIYEH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","39","1984","8","52000000","70000000","1","SIUP"
"BATIK TULIS-SUNIRAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","17","2006","8","53000000","9750000","1","SIUP"
"BATIK TULIS - RATI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","28","1995","8","53000000","15000000","1","SIUP"
"BATIK TULIS - MISRIANA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","53000000","18500000","1","SIUP"
"BATIK TULIS - SURANI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","31","1992","8","53000000","19000000","1","SIUP"
"BATIK TULSI - MUNIDAH","DSN MANGKON (KECAMATAN AROSBAYA)","18","2005","8","53000000","19850000","1","SIUP"
"BATIK TULIS - MARSUHA","DSN MANGKON (KECAMATAN AROSBAYA)","30","1993","8","53000000","30000000","1","SIUP"
"BATIK TULIS - DIMUNA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","54000000","13250000","1","SIUP"
"BATIK TULIS - SUMARMI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","18","2005","8","54000000","14750000","1","SIUP"
"BATIK TULIS - MASRIYEH","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","54000000","18000000","1","SIUP"
"BATIK TULIS - RUPAYAH","DSN MANGKON (KECAMATAN AROSBAYA)","21","2002","8","54000000","19690000","1","SIUP"
"BATIK TULIS - MUNARTI","DSN MANGKON (KECAMATAN AROSBAYA)","14","2009","8","54000000","21000000","1","SIUP"
"BATIK TULIS - HAWE","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","22","2001","8","54000000","23500000","1","SIUP"
"BATIK TULIS - PAUSIYEH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","54000000","200800000","1","SIUP"
"BATIK TULIS - SYAFIAH","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","55000000","18000000","1","SIUP"
"BATIK TULIS - SUMIATI","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","55000000","19000000","1","SIUP"
"BATIK TULIS - ROBIAH","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","55000000","21000000","1","SIUP"
"BATIK TULIS - NAWIYAH","DSN MANGKON (KECAMATAN AROSBAYA)","31","1992","8","55000000","24570000","1","SIUP"
"BATIK TULIS - SAMIYAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","19","2004","8","55000000","27500000","1","SIUP"
"BATIK TULIS - KORSIYEH","DSN MANGKON (KECAMATAN AROSBAYA)","18","2005","8","55000000","32450000","1","SIUP"
"BATIK TULIS - SURIYEH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","55000000","35000000","1","SIUP"
"BATIK TULIS - MA ERA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","28","1995","8","56000000","16550000","1","SIUP"
"BATIK TULIS - MANIDEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","28","1995","8","56000000","17300000","1","SIUP"
"BATIK TULIS - RUSMIATI","DSN MANGKON (KECAMATAN AROSBAYA)","30","1993","8","56000000","19670000","1","proses pengurusan"
"BATIK TULIS - MANIYEH","DSN MANGKON (KECAMATAN AROSBAYA)","21","2002","8","56000000","19750000","1","SIUP"
"BATIK TULIS - SUBAIDEH","DSN MANGKON (KECAMATAN AROSBAYA)","28","1995","8","56000000","21310000","1","SIUP"
"BATIK TULIS MURNI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","56000000","35000000","1","SIUP"
"BATIK TULIS - SARINA","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","57000000","1350000","1","SIUP"
"BARIK TULIS - IMMA","DSN DENGKAH (KECAMATAN TANAH MERAH)","25","1998","8","57000000","15500000","1","SIUP"
"BATIK TULIS-WAHEDEH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","24","1999","8","57000000","16350000","1","SIUP"
"BATIK TULIS - SATUMA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","57000000","18000000","1","SIUP"
"BATIK TULIS - ATIYEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","26","1997","8","57000000","18650000","1","SIUP"
"BATIK TULIS - SURINTEN","DSN MANGKON (KECAMATAN AROSBAYA)","28","1995","8","57000000","18940000","1","SIUP"
"BATIK TULIS - ROHMAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","27","1996","8","57000000","19000000","1","SIUP"
"BATIK TULIS - SUNAISEH","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","57000000","19030000","1","tidak memiliki"
"BATIK TULIS - PUSATI","DSN MANGKON (KECAMATAN AROSBAYA)","22","2001","8","57000000","19540000","1","tidak memiliki"
"BATIK TULIS - ROPIAH","DSN MANGKON (KECAMATAN AROSBAYA)","18","2005","8","57000000","19850000","1","tidak memiliki"
"BATIK TULIS - SERAFA","DSN MANGKON (KECAMATAN AROSBAYA)","49","1974","8","57000000","21000000","1","tidak memiliki"
"BATIK TULIS - RAMUNA","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","57000000","21000000","1","tidak memiliki"
"BATIK TULIS - KUTSIYEH","DSN MANGKON (KECAMATAN AROSBAYA)","21","2002","8","57000000","21000000","1","tidak memiliki"
"BATIK TULIS - KUMRIYEH","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","57000000","22530000","1","tidak memiliki"
"BATIK YULSI - SATUMA","DSN MANGKON (KECAMATAN AROSBAYA)","21","2002","8","57000000","24600000","1","tidak memiliki"
"BATIK TULIS - SALAMA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","23","2000","8","57000000","25000000","1","tidak memiliki"
"BATIK TULIN - MISRINA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","31","1992","8","57000000","47000000","1","tidak memiliki"
"BATIK TULIS - HASANAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","22","2001","8","58000000","1750000","1","tidak memiliki"
"BATIK TULIS - LIMAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","26","1997","8","58000000","16750000","1","tidak memiliki"
"PETANA JAGUNG - MATTASIK","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","58000000","17500000","1","tidak memiliki"
"BATIK TULIS - SATUMA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","58000000","17500000","1","tidak memiliki"
"BATIK TULIS - ROHEMAH","DSN MANGKON (KECAMATAN AROSBAYA)","20","2003","8","58000000","17550000","1","tidak memiliki"
"BATIK TULIS - ERRUM","DSN MANGKON (KECAMATAN AROSBAYA)","45","1978","8","58000000","18000000","1","tidak memiliki"
"BATIK TULIS - HANNI","DSN DENGKAH (KECAMATAN TANAH MERAH)","25","1998","8","58000000","18750000","1","tidak memiliki"
"BATIK TULIS - SITTII","DSN MANGKON (KECAMATAN AROSBAYA)","30","1993","8","58000000","19000000","1","tidak memiliki"
"BATIK TULIS - RITA","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","58000000","19450000","1","tidak memiliki"
"BATIK TULIS - HATIYAH","DSN MANGKON (KECAMATAN AROSBAYA)","20","2003","8","58000000","19850000","1","tidak memiliki"
"BATIK TULIS - MUNIYEH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","31","1992","8","58000000","21500000","1","tidak memiliki"
"BATIK TULIS - NINA","DSN DENGKAH (KECAMATAN TANAH MERAH)","30","1993","8","58000000","21730000","1","SIUP"
"BATIK TULIS - LATIPAH","DSN MANGKON (KECAMATAN AROSBAYA)","21","2002","8","58000000","79850000","1","tidak memiliki"
"BATIK TULIS - JATIMA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","27","1996","8","59000000","25000000","1","tidak memiliki"
"BATIK TULIS - HJ HANANAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","28","1995","8","61000000","16500000","1","tidak memiliki"
"BATIK  TULIS - RAKIAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","29","1994","8","61000000","17500000","1","tidak memiliki"
"BATIK TULIS - AISA","DSN DENGKAH (KECAMATAN TANAH MERAH)","27","1996","8","61000000","17500000","1","tidak memiliki"
"BATIK TULIS - PURIYEH","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","61000000","19010000","1","tidak memiliki"
"BATIK TULIS - SUTIYAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","28","1995","8","61000000","19800000","1","SIUP"
"BATI TULIS - NAHRATI","DSN MANGKON (KECAMATAN AROSBAYA)","14","2009","8","62000000","12000000","1","tidak memiliki"
"BATIK TULIS - PUTIYEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","26","1997","8","62000000","17250000","1","tidak memiliki"
"BATIK TULIS - HJ SAFIYEH","DSN DENGKAH (KECAMATAN TANAH MERAH)","26","1997","8","62000000","17850000","1","tidak memiliki"
"PETANI JAGUNG - ARI","DSN DANGKAH (KECAMATAN CAMPLONG)","27","1996","8","62000000","18700000","1","tidak memiliki"
"BATIK TULIS - ERRO","DSN DANGKAH (KECAMATAN CAMPLONG)","27","1996","8","62000000","18700000","1","tidak memiliki"
"BATIK TULIS - HOSRIYAH","DSN MANGKON (KECAMATAN AROSBAYA)","19","2004","8","62000000","18760000","1","tidak memiliki"
"BATIK TULIS - RIMUNA","DSN MANGKON (KECAMATAN AROSBAYA)","44","1979","8","62000000","19000000","1","tidak memiliki"
"BATIK TULIS - TUNIRAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","62000000","19500000","1","tidak memiliki"
"BATIK TULIS - HOLIFAH","DSN MANGKON (KECAMATAN AROSBAYA)","30","1993","8","62000000","19710000","1","tidak memiliki"
"BATIK TULIS - ITIYAH","DSN MANGKON (KECAMATAN AROSBAYA)","30","1993","8","62000000","21500000","1","tidak memiliki"
"BAIK TULIS - MUNA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","62000000","22000000","1","tidak memiliki"
"BATIK TULIS - BEHRIYEH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","62000000","25000000","1","tidak memiliki"
"BATIK TULIS - HAKIMAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","29","1994","8","63000000","14700000","1","SIUP"
"BATIK TULIS - SAMIYAH","DSN MANGKON (KECAMATAN AROSBAYA)","22","2001","8","63000000","15750000","1","tidak memiliki"
"BATIK TULIS - SATUMA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","31","1992","8","63000000","18000000","1","tidak memiliki"
"BATIK TULIS - LIYA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","26","1997","8","63000000","18000000","1","tidak memiliki"
"BATIK TULIS - MAULIDAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","31","1992","8","63000000","18650000","1","tidak memiliki"
"BATIK TULIS - NORHANI","DSN MANGKON (KECAMATAN AROSBAYA)","26","1997","8","63000000","21000000","1","tidak memiliki"
"BATIK TULIS - SANIYEH","DSN MANGKON (KECAMATAN AROSBAYA)","27","1996","8","63000000","185030000","1","tidak memiliki"
"BATIK TULIS - PUKANI","DSN MANGKON (KECAMATAN AROSBAYA)","16","2007","8","64000000","18000000","1","SIUP"
"BATIK TULIS - HASANAH","DSN DENGKAH (KECAMATAN TANAH MERAH)","30","1993","8","64000000","21100000","1","proses pengurusan"
"BATIK TULIS - SUMAYYAH","DSN MANGKON (KECAMATAN AROSBAYA)","29","1994","8","65000000","18000000","1","tidak memiliki"
"BATIK TULIS - MIRAH","DSN MANGKON (KECAMATAN AROSBAYA)","31","1992","8","65000000","21000000","1","tidak memiliki"
"BATIK TULIS - TUMA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","27","1996","8","65000000","21500000","1","tidak memiliki"
"BATIK TULIS - BASRIYAH","DSN MANGKON (KECAMATAN AROSBAYA)","20","2003","8","65000000","25400000","1","tidak memiliki"
"BATIK TULIS - TUNIRAH","DSN MANGKON (KECAMATAN AROSBAYA)","28","1995","8","66000000","21000000","1","tidak memiliki"
"BATIK TULIS - HAWE","DSN MANGKON (KECAMATAN AROSBAYA)","20","2003","8","66000000","23400000","1","tidak memiliki"
"BATIK TULIS - ROBIAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","67000000","17000000","1","SIUP"
"BATIK TULIS - SULIMAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","67000000","17390000","1","tidak memiliki"
"BATIK TULIS - ROBIAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","28","1995","8","67000000","17500000","1","tidak memiliki"
"BATIK TULIS - MINA","DSN MANGKON (KECAMATAN AROSBAYA)","30","1993","8","67000000","19000000","1","tidak memiliki"
"BATIK TULIS - NURHASANAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","21","2002","8","73000000","2350000","1","tidak memiliki"
"BATIK TULIS - EMMUS","DSN MANGKON (KECAMATAN AROSBAYA)","27","1996","8","73000000","11000000","1","tidak memiliki"
"BATIK TULIS - SUTIMAH","DSN MANGKON (KECAMATAN AROSBAYA)","28","1995","8","73000000","17500000","1","tidak memiliki"
"BATIK TULIS - NASIYAH","DSN MANGKON (KECAMATAN AROSBAYA)","17","2006","8","73000000","19750000","1","SIUP"
"BATIK TULIS MAISAROH","DSN. SOKKAH (KECAMATAN TANJUNG BUMI)","13","2010","8","73000000","20100000","1","tidak memiliki"
"BATIK TULIS - NISA","DSN PANGPAJUNG (KECAMATAN MODUNG)","19","2004","8","75000000","10120000","1","tidak memiliki"
"BATIK TULIS - ASIYEH","DSN MANGKON (KECAMATAN AROSBAYA)","30","1993","8","79000000","18540000","1","tidak memiliki"
"BATIK TULIS - SANINTEN","DSN. SOKKAH (KECAMATAN TANJUNG BUMI)","12","2011","8","85000000","36000000","1","tidak memiliki"
"BATIK TULIS - MAIDAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","43","1980","8","100000000","29000000","1","tidak memiliki"
"BATIK TULIS - MISNAWATI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","23","2000","8","100000000","31250000","1","tidak memiliki"
"BATIK TULIS - FAUZIAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","23","2000","8","120000000","67500000","1","SIUP"
"PENGRAJIN BATIK TULIS-B JAWI","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","43","1980","8","120000000","70000000","1","tidak memiliki"
"PENGRAJIN BATIK TULIS-B SUKRI","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","37","1986","8","125000000","15000000","1","tidak memiliki"
"PENGRAJIN BATIK TULIS-B ERRU","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","37","1986","8","125000000","16000000","1","tidak memiliki"
"BATIK TULIS - SLATI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","22","2001","8","125000000","31500000","1","tidak memiliki"
"BATIK TULIS-HJ JAMILA","DUSUN KARANG LAOK (KECAMATAN TANJUNG BUMI)","41","1982","8","125000000","120000000","1","tidak memiliki"
"PENGRAJIN BATIK TULIS-MURWATUN","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","48","1975","8","130000000","25000000","1","tidak memiliki"
"PENGRAJIN BATIK TULIS-MUSRINI","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","20","2003","8","135000000","24000000","1","tidak memiliki"
"BATIK TULIS - FARHAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","33","1990","8","135000000","25000000","1","tidak memiliki"
"BATIK TULIS-NINGSIH","DUSUN KARANG LAOK (KECAMATAN TANJUNG BUMI)","27","1996","8","140000000","150000000","1","tidak memiliki"
"BATIK TULIS-JUMAYYAH","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","37","1986","8","140000000","230000000","1","tidak memiliki"
"INDUSTRI BATIK TULIS-TEMOK","DUSUN KARANG LAOK (KECAMATAN TANJUNG BUMI)","24","1999","8","145000000","150000000","1","tidak memiliki"
"BATIK TULIS-MONY","DSN RENGPERENG (KECAMATAN TANJUNG BUMI)","16","2007","8","150000000","10000000","1","tidak memiliki"
"BATIK TULIS -NUR MALIKA","DUSUN RANGMANTEN (KECAMATAN TANJUNG BUMI)","20","2003","8","150000000","20000000","1","tidak memiliki"
"BATIK TULIS - HJ.MUR","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","40","1983","8","150000000","22500000","1","tidak memiliki"
"BATIK TULIS - MUAMARAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","32","1991","8","150000000","32000000","1","tidak memiliki"
"BATIK TULIS - MAISURI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","27","1996","8","150000000","37000000","1","tidak memiliki"
"BATIK TULIS - TAMOY","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","23","2000","8","150000000","44500000","1","tidak memiliki"
"PENGRAJIN BATIK TULIS-SUNARTI","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","44","1979","8","150000000","180000000","1","tidak memiliki"
"PENGRAJIN BATIK TULIS-HJ LONG","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","37","1986","8","150000000","190000000","1","SIUP"
"BATIK TULIS-ROFIAH","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","38","1985","8","155000000","250000000","1","SIUP"
"BATIK TULIS - TIJAHRAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","43","1980","8","175000000","21500000","1","tidak memiliki"
"BATIK TULIS - SAK IDAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","20","2003","8","187000000","3100000","1","tidak memiliki"
"BATIK TULIS-MOHNIYAH","DSN RENGPERENG (KECAMATAN TANJUNG BUMI)","18","2005","8","200000000","6000000","1","tidak memiliki"
"BATIK TULIS -MUSRIPAH","DUSUN PASESEH (KECAMATAN TANJUNG BUMI)","21","2002","8","200000000","7000000","1","tidak memiliki"
"BATIK TULIS-SITI HASANAH","DSN RENGPERENG (KECAMATAN TANJUNG BUMI)","24","1999","8","200000000","9000000","1","tidak memiliki"
"BATIK TULIS -HJ.FATMA","DUSUN RANGMANTEN (KECAMATAN TANJUNG BUMI)","23","2000","8","200000000","15000000","1","tidak memiliki"
"BATIK TULIS -HJ.MAK ANI","DUSUN RANGMANTEN (KECAMATAN TANJUNG BUMI)","21","2002","8","200000000","15000000","1","proses pengurusan"
"BATIK TULIS -MONY","DUSUN RANGMANTEN (KECAMATAN TANJUNG BUMI)","26","1997","8","200000000","20000000","1","tidak memiliki"
"PENGRAJIN BATIK -FADILAH","DUSUN BATES (KECAMATAN TANJUNG BUMI)","22","2001","8","200000000","20000000","1","tidak memiliki"
"BATIK TULIS -MAULIDA EKA","DUSUN RANGMANTEN (KECAMATAN TANJUNG BUMI)","17","2006","8","200000000","20000000","1","tidak memiliki"
"BATIK TULIS - ENDAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","34","1989","8","200000000","22000000","1","tidak memiliki"
"BATIK TULIS - HOLILAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","29","1994","8","200000000","23000000","1","tidak memiliki"
"BATIK TULIS -SULIDAH","DUSUN RANGMANTEN (KECAMATAN TANJUNG BUMI)","19","2004","8","200000000","25000000","1","tidak memiliki"
"BATIK TULIS - MASKUNAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","36","1987","8","200000000","27000000","1","tidak memiliki"
"BATIK TULIS - WASIAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","40","1983","8","200000000","28000000","1","tidak memiliki"
"BATIK TULIS - TAMMIMAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","50","1973","8","200000000","28800000","1","tidak memiliki"
"BATIK TULIS - FIFIN","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","23","2000","8","200000000","33600000","1","tidak memiliki"
"BATIK TULIS - SULFAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","37","1986","8","200000000","34000000","1","tidak memiliki"
"BATIK TULIS - TITIK","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","27","1996","8","200000000","43200000","1","tidak memiliki"
"PENGRAJIN BATIK TULIS-MUNIFAH","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","17","2006","8","200000000","190000000","1","SIUP"
"PENGRAJIN BATIK TULIS-BIBAH","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","23","2000","8","220000000","170000000","1","tidak memiliki"
"BATIK TULIS-SITI","DSN RENGPERENG (KECAMATAN TANJUNG BUMI)","20","2003","8","250000000","7000000","1","tidak memiliki"
"BATIK TULIS -HOTIMAH","DUSUN RANGMANTEN (KECAMATAN TANJUNG BUMI)","24","1999","8","250000000","25000000","1","tidak memiliki"
"BATIK TULIS -SUNAH","DUSUN RANGMANTEN (KECAMATAN TANJUNG BUMI)","24","1999","8","250000000","25000000","1","tidak memiliki"
"BATIK TULIS-HJ SITI AMINAH","DSN RENGPERENG (KECAMATAN TANJUNG BUMI)","21","2002","8","300000000","6000000","1","tidak memiliki"
"BATIK TULIS -HJ.ZAINIYAH","DUSUN PASESEH (KECAMATAN TANJUNG BUMI)","22","2001","8","300000000","7000000","1","tidak memiliki"
"BATIK TULIS - SUMAIDAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","23","2000","8","300000000","17500000","1","tidak memiliki"
"BATIK TULIS - MISLAHUL JANNAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","23","2000","8","300000000","125000000","1","tidak memiliki"
"BATIK TULIS - SANNA","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","53","1970","8","350000000","13200000","1","tidak memiliki"
"BATIK TULIS-UMMI KULSUM","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","14","2009","8","510000000","6850000","1","tidak memiliki"
"BATIK TULIS - MUSRIYAH","DSN BULANJANG (KECAMATAN TANJUNG BUMI)","17","2006","8","510000000","12450000","1","tidak memiliki"
"BATIK TULIS - ARMU","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","25","1998","8","520000000","7750000","1","tidak memiliki"
"BATIK TULIS- MURANI","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","22","2001","8","520000000","9300000","1","SIUP"
"BATIK TULIS-MUNIYEH","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","19","2004","8","520000000","9950000","1","tidak memiliki"
"BATIK TULIS - SUNAK ERAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","22","2001","8","525000000","8750000","1","tidak memiliki"
"BATIK TULIS - MASNA","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","22","2001","8","530000000","9450000","1","tidak memiliki"
"BATIK TULIS - HAPIYAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","32","1991","8","530000000","9750000","1","tidak memiliki"
"BATIK TULIS -ROHANI","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","15","2008","8","530000000","13500000","1","tidak memiliki"
"BATIK TULIS - HAYATI","DSN BULANJANG (KECAMATAN TANJUNG BUMI)","16","2007","8","540000000","12450000","1","tidak memiliki"
"BATIK TULIS - SULIHA","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","13","2010","8","540000000","13350000","1","SIUP"
"BATIK TULIS SUMINTEN","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","18","2005","8","540000000","13550000","1","tidak memiliki"
"BATIK TULIS-RUMIDAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","19","2004","8","550000000","7500000","1","tidak memiliki"
"BATIK TULIS-ISNAWATI","DSN PANGPAJUNG (KECAMATAN MODUNG)","34","1989","8","554000000","3450000","1","tidak memiliki"
"BATIK TULIS - SALIMA","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","33","1990","8","560000000","9850000","1","tidak memiliki"
"BATIK TULIS - MASIYAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","16","2007","8","570000000","7650000","1","tidak memiliki"
"BATIK TULIS - HOLILAH","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","15","2008","8","570000000","9350000","1","tidak memiliki"
"BATIK TULIS - MUNIRAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","17","2006","8","570000000","9850000","1","SIUP"
"BATIK TULIS-MUSTIMAH","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","25","1998","8","580000000","8750000","1","SIUP"
"BATIK TULIS -SURANI","DSN NONG BENDUNG (KECAMATAN BURNEH)","13","2010","8","580000000","11250000","1","SIUP"
"BATIK TULIS-HOTIMAH","DSN NONG BENDUNG (KECAMATAN BURNEH)","13","2010","8","580000000","13550000","1","SIUP"
"BATIK TULIS-MARDIYAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","16","2007","8","580000000","13750000","1","SIUP"
"BATIK TULIS-RUMAK AH","DSN DENGKAH (KECAMATAN TANAH MERAH)","30","1993","8","580000000","24500000","1","SIUP"
"BATIK TULIS-LIHA","DSNTEBANAH (KECAMATAN BURNEH)","14","2009","8","600000000","9850000","1","SIUP"
"BATIK TULIS - NIPAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","20","2003","8","610000000","1150000","1","SIUP"
"BATIK TULIS-HOSEN","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","24","1999","8","610000000","9750000","1","SIUP"
"BATIK TULIS-NURFADILAH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","22","2001","8","610000000","9850000","1","SIUP"
"BATIK TULIS-SUMATI","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","15","2008","8","610000000","13850000","1","SIUP"
"BATIK TULIS - SOWIYAH","DSN NONGBENDUNG (KECAMATAN BURNEH)","13","2010","8","610000000","16650000","1","SIUP"
